OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
187307481,263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,YES,NO,,,NO,7,4,391636.2322,146740.8977,
187307482,264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,YES,NO,,,NO,6,9,386910.3144,157355.8713,
187307483,265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,YES,NO,,,NO,5,6,391507.261,146849.6029,
187307484,266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,YES,NO,,,NO,7,4,387438.0622,158536.9647,
187307485,267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,YES,NO,,,NO,7,8,399017.792,145928.1627,
187307486,268,Maple & Ritchie Ave,32011,38.983627,-77.006311,YES,NO,,,NO,10,9,399453.2013,146188.6606,
187307487,269,Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,YES,NO,,,NO,4,15,397472.1925,147474.8737,
187307488,270,Montgomery & East Ln,32013,38.983525,-77.095367,YES,NO,,,NO,3,8,391737.1856,146181.6346,
187307489,271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,YES,NO,,,NO,7,12,392546.6611,143765.0395,
187307490,272,14th & Belmont St NW,31119,38.921074,-77.031887,YES,NO,,,NO,6,9,397234.8156,139245.1718,
187307491,273,3rd & Tingey St SE,31634,38.87501,-77.0024,YES,NO,,,NO,14,5,399791.7418,134131.22,
187307492,274,10th & Florida Ave NW,31120,38.920387,-77.025672,YES,NO,,,NO,11,6,397773.748,139168.7391,
187307493,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,YES,NO,,,NO,4,11,400480.0235,134322.9419,
187307494,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,YES,NO,,,NO,12,3,386424.5277,161344.2744,
187307495,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,YES,NO,,,NO,8,7,383736.5343,159054.8233,
187307496,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,YES,NO,,,NO,11,4,387094.4331,157305.3907,
187307497,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,YES,NO,,,NO,9,6,386388.4392,161729.3311,
187307498,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,YES,NO,,,NO,1,14,397457.2886,146924.1578,
187307499,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,YES,NO,,,NO,8,7,386847.1038,159974.1002,
187307500,282,47th & Elm St,32021,38.982456,-77.091991,YES,NO,,,NO,5,9,392029.5703,146062.6651,
187307501,283,Dennis & Amherst Ave,32022,39.025387,-77.044563,YES,NO,,,NO,8,7,396141.228,150825.3728,
187307502,284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,YES,NO,,,NO,9,12,386241.4112,158637.6492,
187307503,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,YES,NO,,,NO,3,8,397933.4145,146865.7388,
187307504,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,YES,NO,,,NO,7,7,399028.6236,145231.0206,
187307505,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,YES,NO,,,NO,6,9,399439.207,145556.5721,
187307506,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,YES,NO,,,NO,6,9,391327.8386,147164.511,
187307507,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,YES,NO,,,NO,7,4,391315.9317,146971.8107,
187307508,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,YES,NO,,,NO,7,4,391803.8535,145467.5504,
187307509,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,YES,NO,,,NO,7,8,382672.5406,159359.3747,
187307510,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,YES,NO,,,NO,10,5,388498.4423,158461.0817,
187307511,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,YES,NO,,,NO,10,5,387766.6457,156489.2688,
187307512,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,YES,NO,,,NO,9,10,384681.9981,159367.7653,
187307513,295,Ripley & Bonifant St,32034,38.992679,-77.029457,YES,NO,,,NO,4,11,397448.1058,147193.915,
187307514,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,YES,NO,,,NO,4,7,397266.6111,147938.7423,
187307515,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,YES,NO,,,NO,11,4,397781.6847,147677.1522,
187307516,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,YES,NO,,,NO,11,7,385169.3335,160751.8343,
187307517,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,YES,NO,,,NO,8,7,384201.3131,160268.1402,
187307518,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,YES,NO,,,NO,6,13,395660.2519,139524.3987,
187307519,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,YES,NO,,,NO,2,17,398678.935,137689.1288,
187307520,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,YES,NO,,,NO,5,6,405910.6742,136744.9916,
187307521,304,Deanwood Rec Center,31711,38.908473,-76.933099,YES,NO,,,NO,5,10,405802.5615,137847.9993,
187307522,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,YES,NO,,,NO,11,6,397376.9402,134511.6305,
187307523,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,YES,NO,,,NO,3,7,392256.7382,133995.6873,
187307524,307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,YES,NO,,,NO,6,5,395811.773,133183.2107,
187307525,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,YES,NO,,,NO,9,10,390502.0823,147971.2824,
187307526,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,YES,NO,,,NO,4,15,392315.9696,143697.2115,
187307527,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,YES,NO,,,NO,4,14,399227.0222,136872.3698,
187307528,311,31st & Woodrow St S,31072,38.837666,-77.09482,YES,NO,,,NO,3,8,391767.761,129990.0404,
187307529,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,YES,NO,,,NO,9,6,392875.3089,133935.6068,
187307530,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,YES,NO,,,NO,8,7,391704.08,133514.8072,
187307531,314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,YES,NO,,,NO,11,4,394621.8626,141475.57,
187307532,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,YES,NO,,,NO,7,8,383008.3894,159468.7697,
187307533,316,Shady Grove Hospital,32042,39.097636,-77.196636,YES,NO,,,NO,9,10,382990.3046,158863.2331,
187307534,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,YES,NO,,,NO,9,2,397930.1735,147722.8481,
187307535,318,Rockville Metro East,32044,39.085394,-77.145803,YES,NO,,,NO,10,3,387385.3603,157495.9731,
187307536,319,1st & H St NW,31638,38.900358,-77.012108,YES,NO,,,NO,8,7,398949.7106,136945.112,
187307537,320,Fort Totten Metro,31515,38.952369,-77.002721,YES,NO,,,NO,7,12,399764.1432,142718.7119,
187307538,321,Takoma Metro,31408,38.975219,-77.016855,YES,NO,,,NO,8,11,398539.4739,145255.4069,
187307539,322,Rhode Island Ave Metro,31516,38.920682,-76.995876,YES,NO,,,NO,7,12,400357.628,139201.1816,
187307540,323,Rolfe St & 9th St S,31075,38.866471,-77.076131,YES,NO,,,NO,4,7,393392.9996,133186.0797,
187307541,324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,YES,NO,,,NO,10,5,392439.7222,130238.6925,
187307542,325,Shady Grove Metro West,32045,39.119765,-77.166093,YES,NO,,,NO,5,14,385636.8464,161314.5845,
187307543,326,River Rd & Landy Ln,32046,38.964992,-77.103381,YES,NO,,,NO,5,13,391040.5048,144125.0512,
